Role,Last Name,First Name,Competitor ID,Event Date,Event Name,Event Location,Division,Result,Points,Num Entries
L,Smith,Jeff,1810,3/8/2025,High Desert Classic,"Lancaster, CA",Novice,1,5,11
F,Konstantinovna,Sophia,1958,3/8/2025,High Desert Classic,"Lancaster, CA",Novice,1,10,20
L,Webb,Eli,1539,3/8/2025,High Desert Classic,"Lancaster, CA",Novice,2,4,11
F,Engel,Kaylee,1650,3/8/2025,High Desert Classic,"Lancaster, CA",Novice,2,8,20
L,Kimberling,Pierce,1959,3/8/2025,High Desert Classic,"Lancaster, CA",Novice,3,3,11
F,Yacoubian,Krystle,1960,3/8/2025,High Desert Classic,"Lancaster, CA",Novice,3,6,20
L,Shields,John,1961,3/8/2025,High Desert Classic,"Lancaster, CA",Novice,4,2,11
F,Rowlett,Mae,1932,3/8/2025,High Desert Classic,"Lancaster, CA",Novice,4,4,20
L,Santiago,Marcellus,1826,3/8/2025,High Desert Classic,"Lancaster, CA",Novice,5,1,11
F,Kovacs,Liannah,1651,3/8/2025,High Desert Classic,"Lancaster, CA",Novice,5,2,20
L,Register,James,1962,3/8/2025,High Desert Classic,"Lancaster, CA",Novice,6,0,11
F,Rogers,Emily,1638,3/8/2025,High Desert Classic,"Lancaster, CA",Novice,6,1,20
L,Vaughan,JP,1931,3/8/2025,High Desert Classic,"Lancaster, CA",Novice,7,0,11
F,Williams,Mindy,1963,3/8/2025,High Desert Classic,"Lancaster, CA",Novice,7,1,20
L,Oneal,Jordan,1964,3/8/2025,High Desert Classic,"Lancaster, CA",Novice,8,0,11
F,Marians,Liza,1805,3/8/2025,High Desert Classic,"Lancaster, CA",Novice,8,1,20
L,Santos,John,1029,3/8/2025,High Desert Classic,"Lancaster, CA",Novice,9,0,11
F,Cordebard,Anais,1652,3/8/2025,High Desert Classic,"Lancaster, CA",Novice,9,1,20
L,Pilato,Avi,1600,3/8/2025,High Desert Classic,"Lancaster, CA",Novice,10,0,11
F,La Douceur,Pat,1965,3/8/2025,High Desert Classic,"Lancaster, CA",Novice,10,1,20
L,Ireland,Danny,679,3/8/2025,High Desert Classic,"Lancaster, CA",Novice,11,0,11
F,Dusenberry,Angela,1966,3/8/2025,High Desert Classic,"Lancaster, CA",Novice,11,0,20
L,Kaiser,Justin,1645,3/8/2025,High Desert Classic,"Lancaster, CA",Intermediate,1,5,9
F,Keister,Mackenzie,1568,3/8/2025,High Desert Classic,"Lancaster, CA",Intermediate,1,5,7
L,Webb,Matt,207,3/8/2025,High Desert Classic,"Lancaster, CA",Intermediate,2,4,9
F,Webb,Camie,1068,3/8/2025,High Desert Classic,"Lancaster, CA",Intermediate,2,4,7
L,Rivera,Diego,1825,3/8/2025,High Desert Classic,"Lancaster, CA",Intermediate,3,3,9
F,Halladay,Mindy,274,3/8/2025,High Desert Classic,"Lancaster, CA",Intermediate,3,3,7
L,Halladay,Ed,146,3/8/2025,High Desert Classic,"Lancaster, CA",Intermediate,4,2,9
F,Fries,Susan,109,3/8/2025,High Desert Classic,"Lancaster, CA",Intermediate,4,2,7
L,Bert,Martin,1655,3/8/2025,High Desert Classic,"Lancaster, CA",Intermediate,5,1,9
F,Fries,Susan,109,3/8/2025,High Desert Classic,"Lancaster, CA",Intermediate,5,0,7
L,Arkoff,Dan,257,3/8/2025,High Desert Classic,"Lancaster, CA",Intermediate,6,0,9
F,Halladay,Mindy,274,3/8/2025,High Desert Classic,"Lancaster, CA",Intermediate,6,0,7
L,Ferguson,Jesse,227,3/8/2025,High Desert Classic,"Lancaster, CA",Intermediate,7,0,9
F,Gubb,Julie,1302,3/8/2025,High Desert Classic,"Lancaster, CA",Intermediate,7,0,7
L,Housego,Cliff,376,3/8/2025,High Desert Classic,"Lancaster, CA",Intermediate,8,0,9
F,Vasquez,Angela,1830,3/8/2025,High Desert Classic,"Lancaster, CA",Intermediate,8,0,7
L,Gallardo,Reggie,579,3/8/2025,High Desert Classic,"Lancaster, CA",Intermediate,9,0,9
F,Korver,Jenna,1221,3/8/2025,High Desert Classic,"Lancaster, CA",Intermediate,9,0,7
